ID,class
10000,86
10001,77
10002,18
10003,62
10004,81
10005,87
10006,68
10007,81
10008,21
10009,49
10010,92
10011,54
10012,68
10013,39
10014,34
10015,9
10016,40
10017,39
10018,54
10019,6
10020,36
10021,45
10022,35
10023,25
10024,51
10025,2
10026,59
10027,73
10028,94
10029,97
10030,84
10031,2
10032,51
10033,27
10034,70
10035,90
10036,75
10037,45
10038,17
10039,31
10040,77
10041,44
10042,81
10043,99
10044,29
10045,7
10046,50
10047,61
10048,99
10049,5
10050,23
10051,19
10052,78
10053,17
10054,39
10055,17
10056,33
10057,39
10058,1
10059,99
10060,15
10061,22
10062,69
10063,54
10064,61
10065,4
10066,78
10067,91
10068,54
10069,28
10070,98
10071,51
10072,31
10073,48
10074,93
10075,54
10076,39
10077,11
10078,24
10079,65
10080,17
10081,98
10082,13
10083,82
10084,55
10085,19
10086,53
10087,25
10088,6
10089,97
10090,5
10091,15
10092,50
10093,83
10094,49
10095,19
10096,31
10097,12
10098,18
10099,86
10100,20
10101,25
10102,57
10103,57
10104,29
10105,7
10106,20
10107,7
10108,24
10109,74
10110,36
10111,27
10112,20
10113,48
10114,67
10115,71
10116,99
10117,18
10118,22
10119,82
10120,50
10121,61
10122,84
10123,52
10124,27
10125,61
10126,78
10127,19
10128,51
10129,55
10130,80
10131,19
10132,3
10133,60
10134,6
10135,89
10136,7
10137,34
10138,17
10139,19
10140,11
10141,42
10142,45
10143,7
10144,56
10145,3
10146,19
10147,33
10148,71
10149,95
10150,27
10151,45
10152,3
10153,23
10154,21
10155,45
10156,19
10157,18
10158,52
10159,18
10160,22
10161,55
10162,47
10163,19
10164,21
10165,91
10166,19
10167,11
10168,70
10169,3
10170,17
10171,70
10172,28
10173,3
10174,42
10175,21
10176,46
10177,48
10178,27
10179,34
10180,99
10181,98
10182,3
10183,22
10184,7
10185,17
10186,47
10187,11
10188,23
10189,73
10190,59
10191,75
10192,38
10193,4
10194,23
10195,59
10196,74
10197,54
10198,25
10199,91
10200,88
10201,16
10202,12
10203,91
10204,56
10205,3
10206,51
10207,31
10208,15
10209,91
10210,40
10211,21
10212,71
10213,36
10214,31
10215,40
10216,17
10217,42
10218,58
10219,40
10220,8
10221,51
10222,61
10223,58
10224,19
10225,55
10226,54
10227,82
10228,68
10229,33
10230,31
10231,85
10232,89
10233,40
10234,70
10235,13
10236,80
10237,39
10238,80
10239,93
